address.outcode,year_sale,sample_listed_sold,min_listed_sold_percentage,lower_quartile_listed_sold_percentage,median_listed_sold_percentage,mean_listed_sold_percentage,upper_quartile_listed_sold_percentage,max_listed_sold_percentage
ZE,2011,0,0,0,0,0,0,0
ZE,2012,1,0,0,0,0,0,0
ZE,2013,0,0,0,0,0,0,0
ZE,2014,1,0,0,0,0,0,0
ZE,2015,0,0,0,0,0,0,0
ZE,2016,0,0,0,0,0,0,0
ZE,2017,1,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
ZE,2018,12,-6.666666667,-1.822515213,-0.5,-0.002309333,1.486459969,7.407407407
ZE,2019,21,-9.090909091,-2.380952381,0,-0.717067526,0,7.24137931
ZE,2020,34,-16.05633803,-0.882352941,0.555555556,1.356537592,5.142463235,10
ZE,2021,61,-17.39130435,0,3.333333333,4.866405504,10.34482759,30
ZE,2022,81,-17.5,4.615384615,9.514084507,9.47747027,14.86885246,27.19298246
ZE,2023,7,1.923076923,6.423076923,10.25641026,13.98302414,17.67776398,37.5
